Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Доходы, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Расходы, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB"
"АРИНА, БФ",1147799019312.0,2014-12-12 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,256000.0,,,,-62000.0,,,,270000.0,-3000.0,,,,,,,3000.0,,,,,,,,-3000.0
"АРИФМЕТИКА ДОБРА, БФ",1147799003770.0,2014-03-11 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,95513000.0,128983000.0,,2863000.0,1319000.0,,,,92673000.0,,1653000.0,83736000.0,95807000.0,4105000.0,,3970000.0,2777000.0,5395000.0,,771000.0,2061000.0,16039000.0,76696000.0,,,51 - 100,,,3970000.0
"АРКТИКА-НАСЛЕДИЕ СЕВЕРА, БФ ФЕДОРА КОНЮХОВА",1157700000920.0,2015-01-23 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРМИЯ ДОБРА, БЛАГОТВОРИТЕЛЬНОЙ ФОНД",1227700105753.0,2022-02-28 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРМИЯ ДОВЕРИЯ, БФ",1207700234246.0,2020-07-14 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРМИЯ И КУЛЬТУРА, МОФ",1037739759694.0,2002-02-14 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРС ЛОНГА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027700465385.0,2001-01-23 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,2105000.0,,,,,,2105000.0,,2105000.0,,,,,,,,,,,,,,,,
"АРТ ИДЕЯ, БФ",1167700064950.0,2016-09-19 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРТ ОЛИМП, НО БФ ПОДДЕРЖКИ КУЛЬТУРЫ И СПОРТА",1047796168716.0,2004-03-17 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРТ ФЕСТИВАЛЬ-РОЗА ВЕТРОВ, ДБФ",1027739678724.0,2000-02-16 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 5,,,
"АРТ, ФОНД",1157700001700.0,2015-02-04 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРТЕМИДА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700019916.0,2015-12-15 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,20640000.0,16977000.0,,35000.0,5583000.0,,,,5450000.0,,,5450000.0,5628000.0,,,,,,,,,2705000.0,17532000.0,,,0 - 5,,,
"АРТЕРИАЛЬНАЯ ГИПЕРТОНИЯ, ФОНД",1057746021805.0,2005-01-17 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,4000.0,51000.0,,,,116000.0,,,,116000.0,,,,,,,,,,,,,,,,
"АРТИСТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1087799033630.0,2008-10-27 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,76572000.0,78588000.0,,4699000.0,6485000.0,,,,14548000.0,,1133000.0,14548000.0,16624000.0,147000.0,,139000.0,,,,162000.0,15000.0,5630000.0,70215000.0,,,0 - 5,,,139000.0
"АРТЭС, КБФ",1027739859663.0,1999-12-17 00:00:00,Действующая,Москва,Благотворительные фонды,2017,15729000.0,3501000.0,381000.0,74126000.0,3956000.0,14587000.0,,,,,,4735000.0,42674000.0,47409000.0,480000.0,941000.0,381000.0,,1010000.0,,4283000.0,5754000.0,3501000.0,,,58397000.0,6 - 10,99000.0,14788000.0,381000.0
"АРХАНГЕЛА МИХАИЛА, БФ",1087799030923.0,2008-09-01 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,2000.0,,,,2000.0,,,,2000.0,,,,,,,,,,,,,,,,
"АРХАНГЕЛА МИХАИЛА, ФОНД",1107799021230.0,2010-07-12 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,17387000.0,16917000.0,,134000.0,10217000.0,,,,10557000.0,,15000.0,10725000.0,10572000.0,,,,130000.0,,,,,658000.0,16599000.0,,,,,,
"АРХИТЕКТУРНЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ИМЕНИ ЯКОВА ЧЕРНИХОВА, МОФ",1027739652082.0,1995-06-19 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,3086000.0,21000.0,5000.0,,,,37000.0,,291000.0,,346000.0,819000.0,819000.0,,,,,98000.0,98000.0,,,,2267000.0,,90000.0,,729000.0
"АСЕНЬКА, БФ",1167700061000.0,2016-07-19 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,31000.0,19000.0,,,22000.0,,,,17000.0,,,22000.0,22000.0,,,,,,,,,,31000.0,,,,,,
"АССАМБЛЕИ, НБФ",1127799015299.0,2012-08-09 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АСТРЕЯ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147799018905.0,2014-12-08 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АТИКВА (НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ), БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ЕВРЕЙСКОЙ КУЛЬТУРЫ",1027700124913.0,1997-12-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,166000.0,,,,,-46000.0,,11000.0,,166000.0,,,,,,,,,,,,,,,,
"АТЛАНТ, БФ",1187700013885.0,2018-08-21 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АТЛАНТ, ННБФ",1037739452629.0,2001-04-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АУТСАЙД (ВОВНЕ), БФ",1207700198463.0,2020-06-18 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АФАЛИНЫ, БФ",1197700010089.0,2019-07-03 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АХИРАТ, БФ",1157700018068.0,2015-11-11 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЮБ, БФ",1227700012539.0,2022-01-18 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЯ, БФ",1197700007120.0,2019-05-08 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БАГРАТИОНИ, ФОНД",1037746003536.0,2002-06-28 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ИМЕНИ В. М. БУЗЫЛЕВА,1217700415393.0,2021-09-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БАЛЕТНЫЙ ФОНД,1037700093782.0,1997-06-05 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БАЛЫ АССАМБЛЕИ ТРЕТЬЕГО ТЫСЯЧЕЛЕТИЯ, НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027700202914.0,2002-05-29 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БАЛЫ-АССАМБЛЕИ, НБФ",1077799004360.0,2007-02-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БАРС, НО ФОНД",1047796000603.0,2004-01-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БАСКЕТБОЛ ВСЕЙ СТРАНЕ, МБОФ",1127799023880.0,2012-11-19 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БАСТИОН, БФСП",1037739519993.0,1997-01-27 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,11996000.0,12020000.0,,128000.0,1141000.0,,,,,,19000.0,1251000.0,1270000.0,,,,,,,,,798000.0,11002000.0,,,,,,
БАТАЛОВ-ФОНД,1187700013995.0,2018-08-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЗ БАРЬЕРОВ, РОФ",1107799033638.0,2010-11-17 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,2000.0,,,,2000.0,,,,2000.0,,,,,,,,,,,,,,,,
"БЕЗОПАСНОЕ ДЕТСТВО, НО БФ",1062300008649.0,2006-08-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЗОПАСНОСТЬ И ЗАКОННОСТЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1087799036126.0,2008-11-25 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,531340000.0,2182000.0,,665728000.0,41498000.0,,,,1352000.0,,151000.0,-461628000.0,718592000.0,,,,,,,,,12403000.0,518937000.0,,,,,,
"БЕЗРАЗЛИЧИЯ. НЕТ, БФ",1157700020345.0,2015-12-21 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,81000.0,1684000.0,,,1683000.0,,,,1683000.0,,,1682000.0,1683000.0,,,,,,,,,3000.0,78000.0,,,0 - 5,,,
"БЕЛАЯ ЛИЛИЯ, БФ",1187700010673.0,2018-06-21 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛАЯ ТРОСТЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1137799022129.0,2013-12-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛОГОРЬЕ, БФ",1117799011000.0,2011-06-15 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛОЕ СИЯНИЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700015776.0,2019-10-31 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ ДЕНЬ, НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1037739937674.0,2003-10-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ ИРИС, ФОНД",1167700056270.0,2016-04-28 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,358000.0,,,,453000.0,,,,453000.0,,,,,,,,,,,,,0 - 5,,,
"БЕЛЫЙ КРЕСТ, БФ",1197700012180.0,2019-08-15 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ ЛЕБЕДЬ, БКФ",1087799030725.0,2008-08-27 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ ЛОТОС, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1187700006196.0,2018-04-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ МЕДВЕДЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147799004308.0,2014-03-20 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ ОРЕЛ, НО БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027730004500.0,2002-10-03 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ СВЕТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1177700012984.0,2017-08-18 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЫЙ, БФ",1197700018075.0,2019-12-20 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЕЛЬКАНТО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1067746154904.0,2006-01-27 00:00:00,Действующая,Москва,Благотворительные фонды,2017,44625000.0,24596000.0,9631000.0,79830000.0,18395000.0,6583000.0,,,,40647000.0,30800000.0,2019000.0,4604000.0,43297000.0,-8527000.0,-6325000.0,9631000.0,5210000.0,,,22000.0,2223000.0,11075000.0,8311000.0,,35205000.0,6 - 10,,20151000.0,-10863000.0
"БЕНЕФИС, ФОНД",1027700084829.0,1997-05-26 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,123000.0,153000.0,,26000.0,50000.0,,,,,,61000.0,50000.0,77000.0,,,,,,,,,101000.0,23000.0,,,0 - 5,,,
"БЕРЕГ ДЕТСТВА, БФ",1167700074728.0,2016-12-08 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,5000.0,,,,5000.0,,,,5000.0,-5000.0,,,,,,,5000.0,,,,,,,,-5000.0
"БЕСТ, НО БФ",1217700431266.0,2021-09-14 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЕФ,1057748732414.0,2005-10-24 00:00:00,Действующая,Москва,Благотворительные фонды,2017,1000.0,1000.0,2000.0,1000.0,,,,,,,,,1000.0,,,1000.0,,,,,,1000.0,,,,,,,,
"БИ ХЕППИ, БФ",1177700014249.0,2017-09-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БИМ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1097799006634.0,2009-04-10 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БИМ, ФОНД",1027700592138.0,2001-10-02 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,12285000.0,12211000.0,,98000.0,23000.0,,,,6978000.0,,2534000.0,22000.0,9568000.0,-27000.0,,,,,,12000.0,39000.0,,12242000.0,,,0 - 5,2000.0,,-29000.0
"БИОЗОНА, БФ",1207700403492.0,2020-10-28 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БИФ ПОМОГИ.ОРГ,1057748529684.0,2005-10-07 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,75222000.0,69667000.0,,,,152399000.0,,232000.0,,152630000.0,2016000.0,,,,,,2146000.0,130000.0,,,,,0 - 5,,,2016000.0
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ И РАЗВИТИЯ ГРАЖДАНСКОЙ АВИАЦИИ, НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ",1037730019381.0,2003-07-09 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЛАГАЯ ВЕСТЬ, БФ",1167700072968.0,2016-11-10 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЛАГАЯ ВЕСТЬ, БФ",1137799004045.0,2013-03-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЛАГИЕ ДЕЛА, ФОНД",1127799009469.0,2012-05-17 00:00:00,Действующая,Москва,Благотворительные фонды,2017,490000.0,,,490000.0,455000.0,65000.0,,,12631000.0,-16388000.0,,4278000.0,,520000.0,-16241000.0,-16203000.0,,,,20000.0,,18000.0,,,,,,,16693000.0,-16247000.0
"БЛАГО ДАРИ МИРУ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700006360.0,2019-04-23 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЛАГО ДЕТЯМ, БФ",1177700000983.0,2017-01-10 00:00:00,Действующая,Москва,Благотворительные фонды,2017,449000.0,449000.0,449000.0,449000.0,,,,,,10000.0,,,,10000.0,,360000.0,,,,,,360000.0,89000.0,360000.0,,,,,89000.0,
"БЛАГО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ ВОСПИТАТЕЛЬНЫМ КОЛОНИЯМ ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ",1037739945847.0,2003-11-03 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЛАГО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ И ЗАЩИТЫ ЛЮДЕЙ, ПОПАВШИХ В ТРУДНЫЕ ЖИЗНЕННЫЕ УСЛОВИЯ",1167700060010.0,2016-07-01 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БЛАГО, БФ",1027700129918.0,1997-04-29 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,218348000.0,220873000.0,,193000.0,4226000.0,,,,4137000.0,,282000.0,4224000.0,4419000.0,,,,208386000.0,,,,,,,,,0 - 5,,,
"БЛАГО-ДАР, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1097799006216.0,2009-04-03 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,29000.0,17000.0,,1000.0,2000.0,,,,,,7000.0,,8000.0,,,,,,,,,29000.0,,,,,,,
"БЛАГО-ДАРЕНИЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1177700013226.0,2017-08-23 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
